iter	Passed	Remaining
852	3461	596
853	3464	592
854	3467	588
855	3471	584
856	3474	579
857	3477	575
858	3479	571
859	3483	567
860	3487	563
861	3490	558
862	3492	554
863	3495	550
864	3499	546
865	3502	541
866	3504	537
867	3507	533
868	3509	529
869	3513	524
870	3517	520
871	3520	516
872	3522	512
873	3525	508
874	3529	504
875	3532	500
876	3534	495
877	3537	491
878	3540	487
879	3544	483
880	3547	479
881	3550	474
882	3552	470
883	3555	466
884	3560	462
885	3563	458
886	3565	454
887	3568	450
888	3571	445
889	3575	441
890	3578	437
891	3582	433
892	3584	429
893	3588	425
894	3591	421
895	3594	417
896	3596	412
897	3599	408
898	3604	404
899	3606	400
900	3609	396
901	3612	392
902	3615	388
903	3619	384
904	3621	380
905	3624	376
906	3628	372
907	3632	368
908	3635	363
909	3637	359
910	3640	355
911	3644	351
912	3648	347
913	3651	343
914	3653	339
915	3656	335
916	3659	331
917	3665	327
918	3669	323
919	3672	319
920	3678	315
921	3682	311
922	3685	307
923	3687	303
924	3692	299
925	3696	295
926	3700	291
927	3703	287
928	3708	283
929	3711	279
930	3715	275
931	3719	271
932	3724	267
933	3728	263
934	3732	259
935	3736	255
936	3743	251
937	3746	247
938	3749	243
939	3754	239
940	3759	235
941	3762	231
942	3766	227
943	3771	223
944	3774	219
945	3776	215
946	3781	211
947	3786	207
948	3789	203
949	3792	199
950	3797	195
951	3800	191
952	3805	187
953	3809	183
954	3820	180
955	3823	175
956	3827	171
957	3831	167
958	3834	163
959	3836	159
960	3840	155
961	3845	151
962	3848	147
963	3851	143
964	3853	139
965	3860	135
966	3862	131
967	3865	127
968	3868	123
969	3873	119
970	3876	115
971	3879	111
972	3883	107
973	3888	103
974	3891	99
975	3896	95
976	3902	91
977	3905	87
978	3909	83
979	3920	80
980	3925	76
981	3930	72
982	3937	68
983	3942	64
984	3947	60
985	3955	56
986	3958	52
987	3966	48
988	3969	44
989	3971	40
990	3974	36
991	3978	32
992	3984	28
993	3987	24
994	3990	20
995	3994	16
996	3997	12
997	4000	8
998	4003	4
999	4008	0
